ID;VALEUR;DATE
1;4327.65;2019-04-08 14:36:44.0
1;4327.74;2019-04-08 14:36:46.0
1;4327.65;2019-04-08 14:36:48.0
1;4327.74;2019-04-08 14:36:51.0
1;4328.31;2019-04-08 14:36:55.0
1;4327.74;2019-04-08 14:36:59.0
1;4328.31;2019-04-08 14:37:00.0
1;4328.82;2019-04-08 14:37:21.0
1;4328.48;2019-04-08 14:37:41.0
1;4328.33;2019-04-08 14:37:58.0
1;4328.48;2019-04-08 14:37:59.0
1;4328.33;2019-04-08 14:38:02.0
1;4327.98;2019-04-08 14:38:06.0
1;4328.33;2019-04-08 14:38:08.0
1;4327.98;2019-04-08 14:38:10.0
1;4328.33;2019-04-08 14:38:15.0
1;4325.46;2019-04-08 15:13:24.0
1;4325.29;2019-04-08 15:13:44.0
1;4325.24;2019-04-08 15:14:04.0
1;4325.11;2019-04-08 15:14:06.0
1;4325.24;2019-04-08 15:14:08.0
1;4325.11;2019-04-08 15:14:11.0
1;4325.24;2019-04-08 15:14:19.0
1;4325.11;2019-04-08 15:14:22.0
1;4325.24;2019-04-08 15:14:23.0
1;4325.11;2019-04-08 15:14:25.0
1;4325.13;2019-04-08 15:14:26.0
1;4325.29;2019-04-08 15:14:36.0
1;4325.13;2019-04-08 15:14:38.0
1;4325.29;2019-04-08 15:14:39.0
1;4325.13;2019-04-08 15:14:40.0
1;4325.29;2019-04-08 15:14:42.0
1;4325.13;2019-04-08 15:14:43.0
1;4324.69;2019-04-08 15:14:49.0
1;4324.61;2019-04-08 15:15:09.0
1;4324.69;2019-04-08 15:15:31.0
1;4325.64;2019-04-08 15:15:51.0
1;4325.83;2019-04-08 15:16:35.0
1;4326.8;2019-04-08 15:16:56.0
1;4326.9;2019-04-08 15:17:17.0
1;4326.55;2019-04-08 15:17:37.0
1;4326.47;2019-04-08 15:17:59.0
1;4327.2;2019-04-08 15:18:41.0
1;4326.8;2019-04-08 15:19:03.0
1;4326.41;2019-04-08 15:20:07.0
1;4326.61;2019-04-08 15:20:48.0
1;4326.57;2019-04-08 15:20:57.0
1;4326.61;2019-04-08 15:20:59.0
1;4326.57;2019-04-08 15:21:00.0
1;4326.61;2019-04-08 15:21:01.0
1;4326.57;2019-04-08 15:21:04.0
1;4326.61;2019-04-08 15:21:07.0
1;4326.57;2019-04-08 15:21:08.0
1;4327.48;2019-04-08 15:21:32.0
1;4327.14;2019-04-08 15:21:53.0
1;4327.05;2019-04-08 15:22:13.0
1;4327.14;2019-04-08 15:22:36.0
